年度,區域,私有資產名稱,同意補助項目,核定補助經費
111,大同區,歷史建築「建成呢絨布行」,歷史建築「建成呢絨布行」修復及再利用工程（含監造）（第二期）(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,1956000
111,北投區,直轄市定古蹟「吟松閣」,直轄市定古蹟「吟松閣」修復工程(含監造) (第三期)(配合文化部文化資產局111年度B類有形文化資產補助)＊配合文化部審核結果補助,12000000
111,大安區,直轄市定古蹟「清真寺」,直轄市定古蹟「清真寺」修復工程第二期(含監造)(配合文化部文化資產局111年度B類有形文化資產補助)＊配合文化部審核結果補助,4732000
111,北投區,直轄市定古蹟「北投穀倉」,直轄市定古蹟「北投穀倉」修復及工程規劃設計,1600000
111,北投區,直轄市定古蹟「長老教會北投教堂」,直轄市定古蹟「長老教會北投教堂」修復及工程規劃設計,1350000
111,大同區,直轄市定古蹟「千秋街店屋」,直轄市定古蹟「千秋街店屋」屋頂修復工程（含監造）,1385090
111,大同區,直轄市定古蹟「陳德星堂」,直轄市定古蹟「陳德星堂」修復工程及周邊設施整備工程（第二、三、四期）規劃設計,951616
111,萬華區,直轄市定古蹟「學海書院（今高氏宗祠）」,直轄市定古蹟「學海書院（今高氏宗祠）」彩繪、門神及泥塑等清潔修復加固工程(一期),3000000
112,大同區,直轄市定古蹟「陳天來故居」,直轄市定古蹟「陳天來故居」文物書畫類緊急搶修,2800000
112,大同區,歷史建築,歷史建築「安西街9巷6號店屋」緊急搶修規劃設計,100000
112,大同區,歷史建築「安西街9巷7號」,歷史建築「安西街9巷7號」修復及再利用計畫,752000
112,萬華區,歷史建築「艋舺集義宮」,歷史建築「艋舺集義宮」修復及再利用計畫,1040000
112,士林區,歷史建築「社子島燕樓李家」,歷史建築「社子島燕樓李家」緊急搶修工程委託規劃設計監造,1600000
113,大同區,直轄市定古蹟「李臨秋故居」,直轄市定古蹟「李臨秋故居」管理維護及活化利用計畫,190000
113,北投區,直轄市定古蹟「北投文物館」,直轄市定古蹟「北投文物館」日常管理維護計畫,200000
113,北投區,直轄市定古蹟「普濟寺」,直轄市定古蹟「普濟寺」規劃設計（含因應計畫）,760000
113,大同區,直轄市定古蹟「延平基督教會」,直轄市定古蹟「延平基督教會」修復及再利用工程,8753577
113,萬華區,直轄市定古蹟「學海書院」,直轄市定古蹟「學海書院」修復工程第三期,12611000
113,北投區,直轄市定古蹟「吟松閣」,直轄市定古蹟「吟松閣」修復工程（含監造）第四期,54778000
113,大同區,直轄市定古蹟「陳德星堂」,直轄市定古蹟「陳德星堂」修復工程及周邊設施整備工程（第二期）,6070000
113,中正區,歷史建築「沅陵街42號店屋」,歷史建築「沅陵街42號店屋」修復及再利用工程,8236000
113,大同區,歷史建築「安西街周宅」,歷史建築「安西街周宅」修復工程（含監造）,3100000
113,大同區,直轄市定古蹟「李臨秋故居」,直轄市定古蹟「李臨秋故居」展示工程施工計畫,1175000
113,大同區,直轄市定古蹟「陳天來故居」,直轄市定古蹟「陳天來故居」修復及再利用工程（第一期）,47146000
113,北投區,直轄市定古蹟「普濟寺」,直轄市定古蹟「普濟寺」日常管理維護計畫,128000
113,大同區,歷史建築「大稻埕葉晋發商號」,歷史建築「大稻埕葉晋發商號」日常管理維護計畫,100000
113,北投區,直轄市定古蹟「北投穀倉」,直轄市定古蹟「北投穀倉」碾米機房緊急搶修工程計畫,299600
113,大安區,直轄市定古蹟「義芳居古厝」,直轄市定古蹟「義芳居古厝」日常管理維護計畫,142069
113,大安區,直轄市定古蹟「義芳居古厝」,直轄市定古蹟「義芳居古厝」緊急保護棚架工程,2324372
113,大安區,歷史建築「社子島-燕樓李家」,歷史建築「社子島-燕樓李家」緊急搶修工程,18334000
114,中山區,歷史建築「劍潭寺」,歷史建築「劍潭寺」修復及再利用計畫,960000
114,信義區,直轄市定古蹟「白榕蔭堂墓園」,直轄市定古蹟「白榕蔭堂墓園」修復及再利用計畫,1652800
114,大安區,直轄市定古蹟「殷海光故居」,直轄市定古蹟「殷海光故居」修復及再利用計畫,1200000
114,北投區,直轄市定古蹟「普濟寺」,直轄市定古蹟「普濟寺」緊急搶修工程計畫,526500
114,內湖區,直轄市定古蹟「內湖郭氏古宅」,直轄市定古蹟「內湖郭氏古宅」修復及再利用工程規劃設計（含因應計畫）,464000
114,北投區,直轄市定古蹟「北投穀倉」,直轄市定古蹟「北投穀倉」規劃設計（含因應計畫）（第二期）,3104000
