年,月,組別,役別,梯退人數,零退人數,遷入人數,小計人數
114,11,防災救護組,研發替代役,2144,1,680,2825
114,11,防災救護組,產業訓儲替代役,30,0,14,44
114,11,治安維護組,民防役,581,1,20,602
114,11,治安維護組,資訊役,6,0,0,6
114,11,治安維護組,已訓警察人員,0,461,371,832
114,11,治安維護組,其他,0,0,0,0
114,12,防災救護組,消防役,2782,3,837,3622
114,12,治安維護組,保安警力,659,2,197,858
114,12,治安維護組,交通助理,477,0,196,673
114,12,治安維護組,社區巡守,468,2,171,641
114,12,治安維護組,矯正機關勤務,565,3,231,799
114,12,治安維護組,收容處所警衛,160,0,64,224
114,12,治安維護組,安全維護,913,2,297,1212
114,12,防災救護組,社會役,3509,4,993,4506
114,12,治安維護組,環境保育,201,1,111,313
114,12,治安維護組,水利維護,251,0,114,365
114,12,防災救護組,醫療役,130,0,128,258
114,12,防災救護組,教育服務役,1387,2,775,2164
114,12,防災救護組,農業服務役,158,0,70,228
114,12,治安維護組,文化服務役,343,1,153,497
114,12,治安維護組,司法行政役,1026,0,409,1435
114,12,治安維護組,土地測量役,46,0,29,75
114,12,治安維護組,外交役,106,1,50,157
114,12,治安維護組,經濟安全役,57,0,26,83
114,12,治安維護組,觀光服務役,187,1,104,292
114,12,治安維護組,公共行政役,3309,156,1436,4901
114,12,治安維護組,體育役,37,0,67,104
114,12,防災救護組,研發替代役,2139,0,686,2825
114,12,防災救護組,產業訓儲替代役,30,0,14,44
114,12,治安維護組,民防役,613,1,21,635
114,12,治安維護組,資訊役,6,0,0,6
114,12,治安維護組,已訓警察人員,0,459,378,837
114,12,治安維護組,其他,0,0,0,0
115,1,防災救護組,消防役,2674,3,765,3442
115,1,治安維護組,保安警力,590,2,167,759
115,1,治安維護組,交通助理,420,0,169,589
115,1,治安維護組,社區巡守,428,2,158,588
115,1,治安維護組,矯正機關勤務,518,2,204,724
115,1,治安維護組,收容處所警衛,138,0,52,190
115,1,治安維護組,安全維護,825,2,260,1087
115,1,防災救護組,社會役,3313,4,878,4195
115,1,治安維護組,環境保育,149,1,81,231
115,1,治安維護組,水利維護,190,0,84,274
115,1,防災救護組,醫療役,104,0,90,194
115,1,防災救護組,教育服務役,1123,2,602,1727
115,1,防災救護組,農業服務役,138,0,55,193
115,1,治安維護組,文化服務役,278,0,117,395
115,1,治安維護組,司法行政役,885,0,347,1232
115,1,治安維護組,土地測量役,36,0,25,61
115,1,治安維護組,外交役,89,0,34,123
115,1,治安維護組,經濟安全役,49,0,20,69
115,1,治安維護組,觀光服務役,155,0,86,241
115,1,治安維護組,公共行政役,2944,122,1238,4304
115,1,治安維護組,體育役,31,0,50,81
115,1,防災救護組,研發替代役,1889,0,533,2422
115,1,防災救護組,產業訓儲替代役,28,0,12,40
115,1,治安維護組,民防役,631,1,22,654
115,1,治安維護組,資訊役,6,0,0,6
115,1,治安維護組,已訓警察人員,0,446,329,775
115,1,治安維護組,其他,0,0,0,0
115,2,防災救護組,消防役,2680,3,772,3455
115,2,治安維護組,保安警力,589,2,167,758
115,2,治安維護組,交通助理,417,0,172,589
115,2,治安維護組,社區巡守,429,2,158,589
115,2,治安維護組,矯正機關勤務,517,2,205,724
115,2,治安維護組,收容處所警衛,138,0,51,189
115,2,治安維護組,安全維護,822,2,262,1086
115,2,防災救護組,社會役,3325,5,884,4214
115,2,治安維護組,環境保育,149,1,81,231
115,2,治安維護組,水利維護,188,0,84,272
115,2,防災救護組,醫療役,104,0,91,195
115,2,防災救護組,教育服務役,1118,2,600,1720
115,2,防災救護組,農業服務役,138,0,56,194
115,2,治安維護組,文化服務役,276,0,117,393
115,2,治安維護組,司法行政役,883,0,349,1232
115,2,治安維護組,土地測量役,36,0,25,61
115,2,治安維護組,外交役,89,0,34,123
115,2,治安維護組,經濟安全役,49,0,20,69
115,2,治安維護組,觀光服務役,154,0,87,241
115,2,治安維護組,公共行政役,2940,124,1246,4310
115,2,治安維護組,體育役,31,0,50,81
115,2,防災救護組,研發替代役,1887,0,537,2424
115,2,防災救護組,產業訓儲替代役,28,0,12,40
115,2,治安維護組,民防役,680,0,26,706
115,2,治安維護組,資訊役,6,0,0,6
115,2,治安維護組,已訓警察人員,0,445,332,777
115,2,治安維護組,其他,0,0,0,0
115,3,防災救護組,消防役,2670,3,778,3451
115,3,治安維護組,保安警力,582,1,169,752
115,3,治安維護組,交通助理,415,0,171,586
115,3,治安維護組,社區巡守,425,2,161,588
115,3,治安維護組,矯正機關勤務,517,1,204,722
115,3,治安維護組,收容處所警衛,135,0,52,187
115,3,治安維護組,安全維護,813,2,263,1078
115,3,防災救護組,社會役,3335,5,907,4247
115,3,治安維護組,環境保育,148,1,79,228
115,3,治安維護組,水利維護,187,0,83,270
115,3,防災救護組,醫療役,104,0,89,193
115,3,防災救護組,教育服務役,1109,2,605,1716
115,3,防災救護組,農業服務役,136,0,56,192
115,3,治安維護組,文化服務役,274,0,118,392
115,3,治安維護組,司法行政役,879,0,354,1233
115,3,治安維護組,土地測量役,36,0,25,61
115,3,治安維護組,外交役,87,0,33,120
115,3,治安維護組,經濟安全役,49,0,20,69
115,3,治安維護組,觀光服務役,154,0,86,240
115,3,治安維護組,公共行政役,2921,125,1259,4305
115,3,治安維護組,體育役,31,0,50,81
115,3,防災救護組,研發替代役,1897,0,551,2448
115,3,防災救護組,產業訓儲替代役,28,0,12,40
115,3,治安維護組,民防役,753,1,32,786
115,3,治安維護組,資訊役,6,0,0,6
115,3,治安維護組,已訓警察人員,0,444,338,782
115,3,治安維護組,其他,0,0,0,0
115,4,防災救護組,消防役,2682,3,778,3463
115,4,治安維護組,保安警力,580,1,169,750
115,4,治安維護組,交通助理,415,0,173,588
115,4,治安維護組,社區巡守,423,2,162,587
115,4,治安維護組,矯正機關勤務,517,1,206,724
115,4,治安維護組,收容處所警衛,135,0,51,186
115,4,治安維護組,安全維護,809,2,268,1079
115,4,防災救護組,社會役,3361,5,921,4287
115,4,治安維護組,環境保育,146,1,79,226
115,4,治安維護組,水利維護,186,0,83,269
115,4,防災救護組,醫療役,102,0,90,192
115,4,防災救護組,教育服務役,1108,2,609,1719
115,4,防災救護組,農業服務役,136,0,56,192
115,4,治安維護組,文化服務役,274,0,118,392
115,4,治安維護組,司法行政役,876,0,356,1232
115,4,治安維護組,土地測量役,36,0,25,61
115,4,治安維護組,外交役,87,0,33,120
115,4,治安維護組,經濟安全役,49,0,20,69
115,4,治安維護組,觀光服務役,154,0,86,240
115,4,治安維護組,公共行政役,2929,126,1254,4309
115,4,治安維護組,體育役,31,0,50,81
115,4,防災救護組,研發替代役,1931,0,554,2485
115,4,防災救護組,產業訓儲替代役,28,0,12,40
115,4,治安維護組,民防役,790,2,35,827
115,4,治安維護組,資訊役,6,0,0,6
115,4,治安維護組,已訓警察人員,0,441,344,785
115,4,治安維護組,其他,0,0,0,0
115,5,防災救護組,消防役,2691,3,783,3477
115,5,治安維護組,保安警力,580,1,166,747
115,5,治安維護組,交通助理,414,0,175,589
115,5,治安維護組,社區巡守,422,2,162,586
115,5,治安維護組,矯正機關勤務,513,1,208,722
115,5,治安維護組,收容處所警衛,135,0,50,185
115,5,治安維護組,安全維護,808,2,269,1079
115,5,防災救護組,社會役,3378,5,936,4319
115,5,治安維護組,環境保育,146,1,79,226
115,5,治安維護組,水利維護,186,0,83,269
115,5,防災救護組,醫療役,101,0,90,191
115,5,防災救護組,教育服務役,1106,2,614,1722
115,5,防災救護組,農業服務役,135,0,57,192
115,5,治安維護組,文化服務役,274,0,119,393
115,5,治安維護組,司法行政役,873,0,358,1231
115,5,治安維護組,土地測量役,36,0,26,62
115,5,治安維護組,外交役,87,0,33,120
115,5,治安維護組,經濟安全役,49,0,20,69
115,5,治安維護組,觀光服務役,154,0,87,241
115,5,治安維護組,公共行政役,2921,124,1263,4308
115,5,治安維護組,體育役,31,0,50,81
115,5,防災救護組,研發替代役,1951,0,557,2508
115,5,防災救護組,產業訓儲替代役,28,0,12,40
115,5,治安維護組,民防役,814,2,36,852
115,5,治安維護組,資訊役,6,0,0,6
115,5,治安維護組,已訓警察人員,0,440,345,785
115,5,治安維護組,其他,0,0,0,0
115,6,防災救護組,消防役,2693,3,793,3494
115,6,治安維護組,保安警力,577,1,170,748
115,6,治安維護組,交通助理,413,0,176,589
115,6,治安維護組,社區巡守,422,2,163,587
115,6,治安維護組,矯正機關勤務,513,1,210,724
115,6,治安維護組,收容處所警衛,135,0,51,186
115,6,治安維護組,安全維護,805,2,271,1078
115,6,防災救護組,社會役,3409,6,950,4365
115,6,治安維護組,環境保育,146,1,78,225
115,6,治安維護組,水利維護,186,0,83,269
115,6,防災救護組,醫療役,101,0,90,191
115,6,防災救護組,教育服務役,1104,2,623,1729
115,6,防災救護組,農業服務役,134,0,57,191
115,6,治安維護組,文化服務役,274,0,120,394
115,6,治安維護組,司法行政役,870,0,362,1232
115,6,治安維護組,土地測量役,36,0,26,62
115,6,治安維護組,外交役,88,0,34,122
115,6,治安維護組,經濟安全役,49,0,20,69
115,6,治安維護組,觀光服務役,154,0,88,242
115,6,治安維護組,公共行政役,2915,124,1274,4313
115,6,治安維護組,體育役,31,0,50,81
115,6,防災救護組,研發替代役,1968,0,564,2532
115,6,防災救護組,產業訓儲替代役,28,0,12,40
115,6,治安維護組,民防役,843,1,36,880
115,6,治安維護組,資訊役,6,0,0,6
115,6,治安維護組,已訓警察人員,0,437,354,791
115,6,治安維護組,其他,0,0,0,0
