序號,統一立案編號,類別,名稱,營業地址,保單到期日,Longitude,Latitude
1008,28480557,公司,潤泰百益股份有限公司,臺北市信義區市民大道六段288號,115/12/01,121.579137,25.049215
1009,24575504,公司,臺虎精釀股份有限公司,臺北市大安區仁愛路四段27巷34號B1~1樓,115/12/01,121.545134,25.04108
1010,80181572,公司,全勝汽車股份有限公司,臺北市北投區福國路201號,115/12/01,121.508498,25.100998
1011,28480557,公司,潤泰百益股份有限公司,臺北市信義區松山路11號及市民大道7段8號,115/12/01,121.578307,25.049196
1012,80290038,公司,潤泰建設股份有限公司,臺北市內湖區成功路四段188號1樓及2樓及2樓之1、金龍路6號8號及成功路4段188號B1~B3及5-7樓,115/12/01,121.594547,25.084081
1013,83784106,公司,神話餐飲有限公司,臺北市中山區林森北路353巷20號,115/12/01,121.526242,25.056992
1014,42853450,公司,欣肉時代股份有限公司,臺北市中山區樂群二路199號1樓,115/12/01,121.558943,25.080489
1015,95482061,公司,海盜餐飲股份有限公司,臺北市信義區松壽路12號5樓,115/12/01,121.566021,25.035668
1016,42630873,公司,誼豐股份有限公司,臺北市大安區忠孝東路4段297號1樓,115/12/01,121.555117,25.041606
1017,16981943,公司,蕃薯藤有限公司,臺北市中正區南門里南海路41號5樓,115/12/01,121.512322,25.031759
1018,27748310,公司,金田興業股份有限公司,臺北市南港區忠孝東路7段299號C棟7樓,115/12/01,121.604792,25.052364
1019,54289964,公司,赤神餐飲股份有限公司,臺北市中正區羅斯福路3段286巷4弄14號1樓及地下室,115/12/01,121.53185,25.015791
1020,70840105,公司,福報文化股份有限公司,臺北市信義區松隆路327號5樓,115/12/01,121.579108,25.048476
1021,90620017,公司,千雅股份有限公司,臺北市中山區中山北路2段45巷23號1樓,115/12/02,121.524046,25.054469
1022,83773207,公司,嘉林餐旅股份有限公司,臺北市中山區樂群三路299號6樓,115/12/03,121.559214,25.082733
1023,54354866,公司,旺得福餐飲事業股份有限公司,臺北市中山區民生東路3段25號B1及27號1樓及B1 ,115/12/03,121.538753,25.058053
1024,60411312,公司,叡序有限公司,臺北市萬華區昆明街92之2號5樓,115/12/03,121.505285,25.044944
1025,05141704,公司,鼎富樓餐廳股份有限公司,臺北市中正區武昌街1段1之2號2樓、重慶南路1段75號2樓,115/12/04,121.513569,25.044104
1026,24456535,公司,波步餐飲有限公司,臺北市松山區民生東路三段130巷18弄4號1樓及地下室,115/12/05,121.545868,25.05649
1027,50852975,公司,燴展國際餐飲企業有限公司,臺北市南港區經貿二路1號3樓,115/12/05,121.617345,25.056376
1028,60431936,公司,福祥餐飲有限公司,臺北市中正區福州街11之2號5樓,115/12/05,121.519435,25.029399
1029,89634359,公司,酒庫餐廳有限公司,臺北市中山區雙城街25巷15號,115/12/06,121.525346,25.066258
1030,46422101,公司,上海鄉村股份有限公司,臺北市士林區忠誠路2段55號5樓,115/12/06,121.531437,25.11181
1031,83052094,公司,三得國際餐飲股份有限公司,臺北市北投區學園路1號,115/12/07,121.466368,25.130085
1032,27339770,公司,城市商旅股份有限公司,臺北市大同區長安西路265號1~6樓、267號1~6樓及271號2~4樓、275號(全棟),115/12/08,121.510818,25.052123
1033,42990665,公司,南青山餐飲股份有限公司,臺北市大安區敦化南路一段235號2樓及235之2號1樓,115/12/08,121.549267,25.040293
1034,53102081,公司,奇異島股份有限公司,臺北市中山區雙城街12之4號全棟,115/12/08,121.524215,25.064696
1035,27337604,公司,美琪餐廳股份有限公司,臺北市中山區敬業三路20號5樓,115/12/08,121.556698,25.083375
1036,84443036,公司,旭陽谷建設開發股份有限公司,臺北市士林區竹子湖211巷8號,115/12/09,121.5674504,25.18033994
1037,23416254,公司,銀豐實業股份有限公司,臺北市信義區松壽路22號至36號B2至5樓,115/12/09,121.567734,25.035564
1038,29162849,公司,禾總有限公司,臺北市內湖區新湖一路128巷15號1.2.3.4樓、15號之1,115/12/10,121.577252,25.06021
1039,83057350,公司,展美有限公司,臺北市中山北路三段181-1號,115/12/10,121.52457,25.073122
1040,53928128,公司,首侖創意有限公司,臺北市信義區忠孝東5段68號4樓,115/12/10,121.5670751,25.04042757
1041,28687500,公司,台灣文創發展股份有限公司,臺北市中正區八德路一段1號(全區),115/12/11,121.528695,25.043704
1042,96806877,公司,澤一餐飲有限公司,臺北市北投區石牌路2段335號1樓,115/12/11,121.524423,25.122814
1043,42849652,公司,偶頁有限公司,臺北市中山區北安路595巷20弄4號1樓,115/12/12,121.547798,25.0818
1044,54298632,公司,配普特有限公司,臺北市大同區鄭州路21巷4號,115/12/12,121.514483,25.049468
1045,50759197,公司,春申匯集有限公司,臺北市大安區仁愛路四段66號1樓出入口公共區、64號地下1樓、66號地下1樓,115/12/13,121.547749,25.037596
1046,53769515,公司,富錦樹文創科技股份有限公司,臺北市信義區松壽路20號2樓20室,115/12/13,121.567404,25.03564
1047,83172020,公司,研酒所有限公司,臺北市大安區仁愛路四段409號1樓,115/12/14,121.555969,25.038004
1048,53751114,公司,德朗飲食企業股份有限公司,臺北市內湖區行善路385號,115/12/14,121.585603,25.063912
1049,27771542,公司,學學文創志業股份有限公司,臺北市內湖區堤頂大道二段207號2樓,115/12/15,121.56792,25.077939
