個案名稱,資產類別,資產種類,所屬主管機關,機關代碼,所在地理區域,縣市別代碼
延平北路二段45號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
原建成區公所廳舍,歷史建築,衙署,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段176號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
林安泰古厝,歷史建築,宅第,臺北市政府,379000000A,臺北市中山區,63000
圓山坑道,歷史建築,關塞,臺北市政府,379000000A,臺北市中山區,63000
劍潭寺,歷史建築,寺廟,臺北市政府,379000000A,臺北市中山區,63000
中山橋,歷史建築,橋樑,臺北市政府,379000000A,臺北市中山區,63000
建國啤酒廠,歷史建築,產業,臺北市政府,379000000A,臺北市中山區,63000
新生北路3段62巷24號,歷史建築,宅第,臺北市政府,379000000A,臺北市中山區,63000
新生北路3段62巷25號,歷史建築,宅第,臺北市政府,379000000A,臺北市中山區,63000
鐵路局機務段員工連棟宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中山區,63000
太原五百完人紀念建築群,歷史建築,祠堂,臺北市政府,379000000A,臺北市中山區,63000
明石元二郎鳥居及鎌田正威鳥居,歷史建築,牌坊,臺北市政府,379000000A,臺北市中山區,63000
松山機場第一航廈,歷史建築,其他設施,臺北市政府,379000000A,臺北市松山區,63000
北市一號倉庫,歷史建築,產業,臺北市政府,379000000A,臺北市松山區,63000
原臺北刑務所官舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍－大安區瑞安街264巷16、18號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
臺灣大學公共宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
臺大農業陳列館,歷史建築,其他設施,臺北市政府,379000000A,臺北市大安區,63000
梁實秋故居,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
臺北市福景宮,歷史建築,寺廟,臺北市政府,379000000A,臺北市大安區,63000
舊總督府第二師範學校小使室及便所,歷史建築,其他設施,臺北市政府,379000000A,臺北市大安區,63000
錦町日式宿舍群,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
臺鐵舊宿舍─濟南路3段15號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
和平東路1段187號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
青田街7巷8號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
青田街8巷10號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
青田街9巷4號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
青田街9巷6號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
青田街9巷8號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍－新生南路1段97巷5號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
下內埔營舍,歷史建築,其他設施,臺北市政府,379000000A,臺北市大安區,63000
錦町日式宿舍─杭州南路2段67號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍－和平東路1段183巷7弄6號,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍－丁觀海、丁肇中寓所,歷史建築,宅第,臺北市政府,379000000A,臺北市大安區,63000
艋舺王宅二進遺構,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
仁濟療養院,歷史建築,其他設施,臺北市政府,379000000A,臺北市萬華區,63000
漢口街2段125號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
西本願寺輪番所，遺蹟  (參道、本堂、御廟所),歷史建築,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
剝皮寮歷史建築群,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
西寧南路14-3號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
青雲閣,歷史建築,宅第,臺北市政府,379000000A,臺北市萬華區,63000
蔣渭水墓園,歷史建築,墓葬,臺北市政府,379000000A,臺北市信義區,63000
四四南村,歷史建築,宅第,臺北市政府,379000000A,臺北市信義區,63000
「陽明山美國在臺協會(原美援運用委員會)宿舍」,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
山仔后前美軍宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
菁山路72巷20弄6號（巫雲山莊）,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
陽明山美軍俱樂部,歷史建築,產業,臺北市政府,379000000A,臺北市士林區,63000
陽明山美軍福利社,歷史建築,產業,臺北市政府,379000000A,臺北市士林區,63000
臺灣省農業試驗所分所長宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市士林區,63000
