年度,被申訴人,申訴人,協商日,爭議內容
109,保捷康物業管理服務股份有限公司,許○○,1090723,儲值退費消費爭議
109,雅虎賣家：Y9228936611,董○○,1090722,線上購物消費爭議
109,嘖室股份有限公司,林○○,1090722,網路募資退費消費爭議
109,旭瑞文化傳媒股份有限公司,曾○○,1090721,使用浪 Live直播消費爭議
109,柳秀英、游中正,林○○,1090720,房屋買賣消費爭議
109,台灣惠普資訊科技股份有限公司,王○○,1090720,電腦維修(瑕疵)消費爭議
109,丹攝影修圖設計工作室,林○○,1090716,婚紗攝影退費爭議
109,台灣宅配通股份有限公司,吳○○,1090714,生鮮食品宅配損害賠償爭議
109,奧斯卡文化事業股份有限公司,劉○○,1090714,網際網路教學服務消費爭議
109,真善美國際旅行社有限公司,林○○,1090714,國外旅遊退費爭議
109,台灣艾瑪文化事業股份有限公司,楊○○,1090714,套書買賣契約解除退費爭議
109,台灣運達旅行社股份有限公司,江○○,1090714,國外旅遊退費爭議
109,KIKI睡眠概念館三重店,黃○○,1090710,商品買賣消費爭議
109,便利帶有限公司,陳○○,1090708,線上購物消費爭議
109,優嘉美工作坊,陳○○,1090708,退費爭議
109,台灣威富品牌有限公司,陳○○,1090707,商品品質消費爭議
109,台灣虎航股份有限公司,林○○,1090707,機票退票消費爭議
109,裕融企業股份有限公司,王○○,1090706,債務協商消費爭議
109,法國巴黎婚紗攝影店,魯○○,1090706,婚紗攝影消費爭議
109,奇摩賣家：Y8755217613,高○○,1090706,網路購物消費爭議
109,樂購蝦皮股份有限公司,曹○○,1090706,網路購物消費爭議
109,銳果物流整合行銷有限公司,詹○○,1090706,網路購物消費爭議
109,承軒行銷有限公司,詹○○,1090706,網路購物消費爭議
109,富胖達股份有限公司,王○○,1090703,美食外送消費爭議
109,睿智策略多媒體行銷公司,黃○○,1090701,購車退費爭議
109,香港商比錫茲有限公司,邱○○,1090701,美食外送退費消費爭議
109,蝦皮賣家：ki959,紀○○,1090630,網路購物消費爭議
109,雪碧國際旅行社有限公司,高○○,1090630,國外旅遊退費爭議
109,安信建築經理股份有限公司,辜○○,1090629,不動產仲介爭議
109,杰爾有限公司,呂○○,1090624,美容產品退費爭議
109,遊戲橘子數位科技股份有限公司,梁○○,1090624,線上遊戲終止契約爭議
109,百優特服飾,廖○○,1090624,臉書交易爭議
