NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
立川工程行,北市水證乙字第001007號,福興路63巷4弄8號,劉家翔,305452,2766314
金德豐工程有限公司,北市水證甲字第003171號,八德路四段288號2樓,陳宏濤,306503.278,2771203.277
元國水電工程有限公司,北市水證甲字第002153號,南京東路3段346之2號4樓,官元愷,305185.056,2772853.404
中華工程股份有限公司,北市水證甲字第000028號,東興路12號6樓,鄭斯聰,307017.612,2771426.435
福麟系統整合股份有限公司,北市水證甲字第002458號,南京東路3段303巷3弄8號2樓,吳東明,305090.876,2771708.096
智宇精密機電股份有限公司,北市水證甲字第002988號,南京東路3段258號7樓,王瑋婷,304972.588,2771606.891
儒億工程有限公司,北市水證甲字第003184號,敦化北路207號10樓之1,蔡明儒,305440,2772317
東鑫龍營造有限公司,北市水證甲字第003203號,健康路325巷24弄3號1樓,郭崇記,307254,2772164
肇鴻工程股份有限公司,北市水證甲字第002628號,復勢里南京東路4段186號6樓之8,蕭尹碩,306837.285,2771569.814
吉興工程顧問股份有限公司,北市水證乙字第000174號,南京東路5段171號6樓,陳吉宏,306858.646,2771613.791
遠揚營造工程股份有限公司,北市水證甲字第003185號,敦化南路二段267號5樓,鄭燦鋒,305415,2768692
北聖工程股份有限公司,北市水證甲字第001887號,八德路4段245巷32弄4之1號1樓,林登貴,306920.369,2771436.437
華峰水電工程有限公司,北市水證甲字第000087號,南京東路5段250巷2弄11號1樓,游信河,307183.369,2771523.753
沐誠國際有限公司,北市水證甲字第003241號,中山北路一段2號4樓之3,羅金花,302416,2770978
鴻良水電工程有限公司,北市水證甲字第001206號,八德路3段158巷7弄8號4樓,沈鴻居,306053.313,2771131.877
國樹工程股份有限公司,北市水證甲字第002072號,南海路105之7號,陳偉群,306265.31,2771037.266
三欣工程有限公司,北市水證丙字第000202號,興中路44巷14號2樓,蘇忠文,311200,2772110
立揚機電工程股份有限公司,北市水證甲字第003245號,忠孝東路2段130號12樓之5,黃俊仁,303662,2770579
泰碁室內裝修工程有限公司,北市水證甲字第002827號,萬隆街58號,趙志明,304228,2765972
泓基水電工程有限公司,北市水證甲字第002296號,民生東路5段137巷5弄10號1樓,郭來福,306620.368,2772470.135
富翔營造有限公司,北市水證甲字第003187號,基隆路一段141號13樓之3,洪崇文,307097,2770658
穎力有限公司,北市水證甲字第001665號,民生東路4段112巷3弄2號3樓,蔡駿煜,305952.064,2772238.919
菁木營造有限公司,北市水證甲字第002893號,敦化北路309號4樓,凃阿雲,305439.613,2772316.944
士林電機廠股份有限公司,北市水證甲字第003188號,忠誠里19鄰中山北路六段88號16樓,許育瑞,300000,2770000
新亞建設開發股份有限公司,北市水證甲字第002854號,八德路4段760號15至16樓,鄒宏基,308436.584,2771457.44
順源工程有限公司,北市水證丙字第000195號,建國北路1段71號9樓,王春淑,304199,2771553
信成企業社,北市水證丙字第000172號,瑞安街208巷24弄14號,陳育德,304498,2769059
信城水電工程有限公司,北市水證丙字第000171號,瑞安街208巷24弄14號1樓,翁麗華,304498,2769059
永紘科技股份有限公司,北市水證甲字第003235號,行善路467號3樓,鄭志豪,309158,2773192
宏泰陽企業有限公司,北市水證甲字第002756號,明德路136巷3弄7號1樓,王惠珠,302540.528,2778081.581
佑聖工程顧問股份有限公司,北市水證甲字第003189號,南京東路三段101號4樓,程健生,304414,2771662
捷將工程有限公司,北市水證甲字第002367號,明德路203之3號5樓,陳紘馳,302551.035,2778298.019
榮和電業有限公司,北市水證甲字第002580號,自強街61巷25號,洪有財,301733.921,2778171.151
以薩迦企業有限公司,北市水證甲字第002868號,自強街61巷5弄4號,黃漢堂,301781.827,2778144.281
將祐工程有限公司,北市水證甲字第002943號,興隆路2段22巷8弄11號1樓,王智弘,305049,2765672
正壕有限公司,北市水證甲字第002755號,新生北路3段88巷39號,施世賢,301643.255,2778162.417
原將科技有限公司,北市水證甲字第002737號,文湖街42號14樓之2,陳政良,302846,2778489.765
旭華水電工程行,北市水證甲字第002344號,致遠三路55巷68號1樓,蔡妙慧,301377.543,2779281.861
貫宇有限公司,北市水證甲字第003183號,哈密街59巷78弄9號10樓之1,林建宏,301937,2774302
大眾建設企業有限公司,北市水證甲字第000289號,五常街370號1樓,熊保源,305012,2773004
慶益工程股份有限公司,北市水證甲字第001831號,承德路7段108號2樓,郭良玉,301436.733,2778297.203
鋐益工程股份有限公司,北市水證甲字第002815號,承德路7段108號2樓,紀榮鎗,301436.733,2778297.203
大業水電企業有限公司,北市水證乙字第000193號,大同街25號1樓,賴鴻銘,300116.52,2780310.83
長踴工程有限公司,北市水證乙字第000192號,永興路二段41號2樓,林金波,300635.53,2781404.829
聖龍和工程有限公司,北市水證乙字第001003號,光復南路23號4樓之2,黃啓穆,306309,2771087
瑞益水電工程有限公司,北市水證甲字第001699號,吉利街280巷20弄3號1樓,林吉清,301464.357,2778942.956
元利水電工程股份有限公司,北市水證甲字第000600號,大興街55號,潘信義,300448.836,2780332.477
發福水電有限公司,北市水證甲字第002097號,溪口街85巷7弄7號1樓,徐陳玉琴,304363.895,2765322.009
力安電機水電工程有限公司,北市水證乙字第000151號,三福街57號1樓,陳金煌,304898.014,2765638.503
環瑋水電工程有限公司,北市水證甲字第001892號,育英街33號6樓,李紀宏,304359.102,2764912.288
凱創國際股份有限公司,北市水證丙字第000181號,汀州路四段35號,王旭雲,304191.148,2766935.366
鴻龍有限公司,北市水證甲字第003190號,南京東路四段186號13樓之12,蔡鴻仁,306249,2771582
景茂工業有限公司,北市水證甲字第001916號,羅斯福路5段236巷5之8號1樓,詹國正,304298.187,2766035.01
鼎龍竣工程有限公司,北市水證甲字第002940號,恆光街23號,劉明坤,307234.023,2764024.882
日商統一能科電氣設備股份有限公司台灣分公司,北市水證甲字第003192號,南京東路3段303巷3弄8號5樓之1,服部啟智,305091,2771708
富隆欣工程有限公司,北市水證甲字第003198號,忠孝東路五段1-8號11樓,馬清菁,306998,2770481
滙源營造股份有限公司,北市水證甲字第003199號,松江路139號3樓,陳亮宇,303807,2771986
冠慶機電股份有限公司,北市水證甲字第002800號,和平東路3段131號3樓,范錦華,305721,2768626
兆騰水電工程有限公司,北市水證甲字第001014號,景福街242巷4號1樓,傅兆騰,304460.298,2765128.799
聯東機電有限公司,北市水證甲字第003077號,羅斯福路5段211巷17弄10號1樓,陳德松,304461.099,2766208.916
季橋工程有限公司,北市水證甲字第003204號,建國北路3段92之1號7樓,李洪山,303912,2773276
文諺水電工程有限公司,北市水證甲字第002129號,秀明路1段221號,詹文寬,307621.953,2764994.322
明善室內裝修工程有限公司,北市水證甲字第002729號,景華街22巷12號,張勝利,304721.609,2765214.091
日騰水電工程有限公司,北市水證甲字第001272號,和興路28巷2號,林阿聰,305147.979,2764243.651
戈登工程有限公司,北市水證甲字第002146號,興隆路4段29巷3弄9-1號2樓,黃秀美,306490.945,2764877.934
省心屋有限公司,北市水證丙字第000196號,奇岩里公館路376巷4弄1號5樓,黃傳廣,300000,2770000
東承科技股份有限公司,北市水證甲字第002829號,木新路2段79巷12弄10號2樓,高志忠,307647.392,2764178.629
天順水電工程有限公司,北市水證甲字第002978號,松山路421號11樓之4,周文雄,307698.901,2765305.836
鼎勝地產股份有限公司,北市水證甲字第003207號,南京東路四段51號4樓之1,羅靖,305590,2771639
柳久工程有限公司,北市水證甲字第000851號,木新路2段101號1樓,曾毓蘭,307550.084,2764182.595
吉村營造股份有限公司,北市水證甲字第003208號,羅斯福路1段24號11樓,郭繡綺,302357,2769382
品智工程有限公司,北市水證甲字第002925號,忠順街1段26巷12弄7號1樓,黃煌文,307531.526,2764436.309
