統一編號,公司名稱,公司地址,核准變更日期,Longitude,Latitude
86020949,台灣康美克環境衛生器材股份有限公司,臺北市中山區天祥路61巷22號,115/04/01,121.521693,25.063296
86105828,偉特金屬股份有限公司,臺北市松山區復興北路167號7樓,115/04/01,121.544306,25.053898
86130328,弘茂貿易有限公司,臺北市大同區大龍街166號2樓,115/04/01,121.515798,25.068197
86285080,華聯輪胎股份有限公司,臺北市大安區仁愛路4段68號12樓之4,115/04/01,121.547923,25.037474
86494690,禾岡興業股份有限公司,臺北市松山區民權東路3段160巷19弄26號,115/04/01,121.548188,25.059833
86498915,進音坊音響有限公司,臺北市內湖區瑞湖街103號5樓,115/04/01,121.576294,25.072482
89135570,巨勝投資股份有限公司,臺北市大同區長安西路230號1樓,115/04/01,121.514515,25.051386
89839297,圓方科技股份有限公司,臺北市內湖區民權東路6段15巷16號5樓,115/04/01,121.578864,25.068145
89947824,時運股份有限公司,臺北市內湖區基湖路14號,115/04/01,121.564871,25.081219
90013701,方向教育科技股份有限公司,臺北市中山區樂群二路101號,115/04/01,121.555122,25.080386
90020490,福爾摩莎金屬礦業有限公司,臺北市中正區忠孝西路1段72號7樓之8,115/04/01,121.514062,25.046827
90278266,立國數科股份有限公司,臺北市松山區復興北路333號9樓,115/04/01,121.544421,25.059805
90325275,木㝢木熙空間室內裝修設計有限公司,臺北市內湖區民權東路6段56巷31號,115/04/01,121.585814,25.067226
90355740,國楓規劃設計顧問有限公司,臺北市中山區南京東路3段9號6樓之3,115/04/01,121.53737,25.052187
90375160,華特鋁業有限公司,臺北市萬華區西藏路273號1樓,115/04/01,121.493219,25.02842
90424319,國際競技股份有限公司,臺北市松山區民生東路3段128號7樓之2,115/04/01,121.545997,25.057521
90501716,天美事業有限公司,臺北市松山區復興北路191號13樓,115/04/01,121.544327,25.055244
90531211,即美生醫股份有限公司,臺北市中正區開封街1段40號4樓,115/04/01,121.512264,25.045918
90624082,無著有物生活有限公司,臺北市大安區建國南路1段160號4樓,115/04/01,121.536976,25.041062
90832574,穎諾科技股份有限公司,臺北市信義區基隆路1段206號18樓,115/04/01,121.56334,25.039826
90834263,條條大祿有限公司,臺北市大同區民權西路136號13樓之11,115/04/01,121.516409,25.06275
90842221,耳目音樂有限公司,臺北市中正區重慶南路3段23號3樓,115/04/01,121.515766,25.028616
90852851,崇茂企業有限公司,臺北市北投區中央北路4段515巷46號1樓,115/04/01,121.469112,25.126342
90871837,卓見永續群策分析有限公司,臺北市大安區信義路4段188號6樓之5,115/04/01,121.551698,25.032945
93365855,肆捨陸入有限公司,臺北市中正區南昌路1段54巷18號,115/04/01,121.516461,25.030991
